Symbol	GeneID	log2FoldChange	padj	pvalue	EnsemblGeneID
VPS54	51542	-1.758653	1.22e-16	2.89e-17	ENSG00000143952
NEDD8-MDP1	100528064	1.871854	1.23e-16	2.91e-17	ENSG00000255526
NEDD8	4738	1.8750276	1.23e-16	2.91e-17	ENSG00000129559
DDX47	51202	-2.1095846	1.24e-16	2.95e-17	ENSG00000213782
CEP112	201134	-5.5967244	1.25e-16	2.98e-17	ENSG00000154240
DGUOK	1716	-1.1977709	1.29e-16	3.07e-17	ENSG00000114956
C9orf64	84267	1.4651443	1.35e-16	3.22e-17	ENSG00000165118
SAMM50	25813	-1.1245944	1.37e-16	3.26e-17	ENSG00000100347
DCK	1633	1.6386457	1.39e-16	3.3e-17	ENSG00000156136
LOC102724023	102724023	1.2443872	1.39e-16	3.3e-17	ENSG00000280071
NDUFB8	4714	-1.2417141	1.4e-16	3.33e-17	ENSG00000166136
ZNF10	7556	-5.0277088	1.44e-16	3.43e-17	ENSG00000256223
ZNF793	390927	1.7901556	1.46e-16	3.48e-17	ENSG00000188227
FCHSD2	9873	1.0751737	1.47e-16	3.49e-17	ENSG00000137478
DDAH2	23564	-4.5744147	1.47e-16	3.5e-17	ENSG00000213722
TMF1	7110	-5.6224064	1.47e-16	3.51e-17	ENSG00000144747
TOR3A	64222	1.6180487	1.49e-16	3.55e-17	ENSG00000186283
TAF1C	9013	-2.3737064	1.49e-16	3.55e-17	ENSG00000103168
ZNF383	163087	-1.5734444	1.49e-16	3.55e-17	ENSG00000188283
TMEM203	94107	-1.1965334	1.5e-16	3.58e-17	ENSG00000187713
PSD3	23362	-2.1961818	1.51e-16	3.6e-17	ENSG00000156011
RIOX1	79697	2.2618715	1.51e-16	3.61e-17	ENSG00000170468
NAV1	89796	-1.5337096	1.53e-16	3.66e-17	ENSG00000134369
KLHL25	64410	-2.8103627	1.57e-16	3.76e-17	ENSG00000183655
TRUB1	142940	-1.7101586	1.65e-16	3.96e-17	ENSG00000165832
DENND11	57189	-1.6158822	1.67e-16	4e-17	ENSG00000257093
FBXO7	25793	-1.0384928	1.68e-16	4.03e-17	ENSG00000100225
SETMAR	6419	1.9707441	1.69e-16	4.06e-17	ENSG00000170364
ICMT	23463	1.0720423	1.69e-16	4.06e-17	ENSG00000116237
LRRCC1	85444	-3.6527753	1.7e-16	4.08e-17	ENSG00000133739
GCSH	2653	1.8565548	1.71e-16	4.09e-17	ENSG00000140905
PIM3	415116	-1.2212412	1.71e-16	4.1e-17	ENSG00000198355
RSRC2	65117	1.075886	1.72e-16	4.14e-17	ENSG00000111011
RPL7A	6130	1.3756837	1.76e-16	4.23e-17	ENSG00000148303
CRACR2A	84766	-2.411567	1.76e-16	4.24e-17	ENSG00000130038
ALDH3A2	224	-4.5591357	1.77e-16	4.25e-17	ENSG00000072210
DVL3	1857	-1.1509103	1.79e-16	4.31e-17	ENSG00000161202
AP4E1	23431	1.5881136	1.8e-16	4.34e-17	ENSG00000081014
CKAP4	10970	1.4907425	1.88e-16	4.53e-17	ENSG00000136026
RRBP1	6238	1.225174	1.94e-16	4.69e-17	ENSG00000125844
SREBF2	6721	1.3387991	1.96e-16	4.74e-17	ENSG00000198911
KCNJ8	3764	-4.2373595	1.97e-16	4.75e-17	ENSG00000121361
WDPCP	51057	1.0519914	1.98e-16	4.79e-17	ENSG00000143951
NFATC3	4775	1.3272682	1.99e-16	4.8e-17	ENSG00000072736
DMAP1	55929	-1.6239422	2.05e-16	4.96e-17	ENSG00000178028
HMGA1	3159	-2.8463914	2.11e-16	5.11e-17	ENSG00000137309
HMGXB4	10042	1.3555041	2.11e-16	5.12e-17	ENSG00000100281
BBS5	129880	-2.305161	2.13e-16	5.15e-17	ENSG00000163093
COQ2	27235	1.0675076	2.14e-16	5.18e-17	ENSG00000173085
SNRPG	6637	1.2074554	2.17e-16	5.26e-17	ENSG00000143977
MAP3K7CL	56911	-2.6787194	2.19e-16	5.31e-17	ENSG00000156265
GDE1	51573	-1.3289901	2.2e-16	5.34e-17	ENSG00000006007
ITPRID2	6744	1.612049	2.2e-16	5.34e-17	ENSG00000138434
FCSK	197258	-1.745319	2.27e-16	5.51e-17	ENSG00000157353
UBALD1	124402	-1.1799108	2.4e-16	5.82e-17	ENSG00000153443
IDE	3416	-1.1395827	2.44e-16	5.91e-17	ENSG00000119912
PTGR3	284273	1.7013423	2.45e-16	5.94e-17	ENSG00000180011
RALA	5898	-6.0530754	2.53e-16	6.14e-17	ENSG00000006451
QRSL1	55278	-1.6879208	2.56e-16	6.22e-17	ENSG00000130348
STON1-GTF2A1L	286749	1.5549116	2.68e-16	6.53e-17	ENSG00000068781
ZNRD2	10534	1.5875275	2.7e-16	6.57e-17	ENSG00000173465
CCDC107	203260	1.5193999	2.79e-16	6.79e-17	ENSG00000159884
UBR3	130507	1.0331876	2.97e-16	7.24e-17	ENSG00000144357
DNAJB11	51726	1.1814688	3e-16	7.3e-17	ENSG00000090520
TAF15	8148	-1.0209968	3.01e-16	7.35e-17	ENSG00000270647
ARID1A	8289	-1.1892107	3.02e-16	7.36e-17	ENSG00000117713
PSMD4	5710	1.36482	3.03e-16	7.39e-17	ENSG00000159352
TXLNG	55787	-1.7009821	3.07e-16	7.49e-17	ENSG00000086712
METTL25	84190	-1.8206823	3.09e-16	7.55e-17	ENSG00000127720
ATP13A1	57130	1.1348211	3.18e-16	7.78e-17	ENSG00000105726
NANOS1	340719	-4.5514879	3.21e-16	7.84e-17	ENSG00000188613
BNIP3L	665	1.2678106	3.39e-16	8.28e-17	ENSG00000104765
CDK5RAP2	55755	1.4520203	3.42e-16	8.37e-17	ENSG00000136861
ATP6V1G1	9550	-1.5731551	3.43e-16	8.4e-17	ENSG00000136888
VPS53	55275	-1.4317221	3.45e-16	8.45e-17	ENSG00000141252
USP18	11274	-2.6774929	3.47e-16	8.5e-17	ENSG00000184979
NECAP2	55707	-1.4237286	3.52e-16	8.62e-17	ENSG00000157191
HOXB4	3214	2.1151023	3.57e-16	8.74e-17	ENSG00000182742
CEP120	153241	-2.3404039	3.65e-16	8.95e-17	ENSG00000168944
LENG8	114823	-1.8597799	3.72e-16	9.13e-17	ENSG00000167615
PCDHGC3	5098	1.3973789	3.84e-16	9.43e-17	ENSG00000240184
GJD3	125111	-4.9474169	3.97e-16	9.75e-17	ENSG00000183153
CCDC82	79780	-2.8929121	4.12e-16	1.01e-16	ENSG00000149231
ZNF254	9534	1.4431839	4.14e-16	1.02e-16	ENSG00000213096
SRSF3	6428	-1.1713539	4.25e-16	1.04e-16	ENSG00000112081
NOSIP	51070	1.0454891	4.26e-16	1.05e-16	ENSG00000142546
RAB11B	9230	1.1740824	4.32e-16	1.06e-16	ENSG00000185236
ARHGEF39	84904	1.4772339	4.4e-16	1.08e-16	ENSG00000137135
TYW5	129450	-4.2321603	4.42e-16	1.09e-16	ENSG00000162971
LY6G5B	58496	1.3444457	4.54e-16	1.12e-16	ENSG00000240053
BCAS3	54828	1.2013428	4.54e-16	1.12e-16	ENSG00000141376
RNF32	140545	-3.0377003	4.64e-16	1.14e-16	ENSG00000105982
SKP2	6502	-1.6904995	4.68e-16	1.15e-16	ENSG00000145604
PHLDB1	23187	-2.0566183	4.8e-16	1.18e-16	ENSG00000019144
CTDSP2	10106	1.2522495	4.8e-16	1.18e-16	ENSG00000175215
AVIL	10677	1.8748037	4.82e-16	1.19e-16	ENSG00000135407
GORASP1	64689	1.1633871	4.82e-16	1.19e-16	ENSG00000114745
ZNF653	115950	-1.5047559	4.9e-16	1.21e-16	ENSG00000161914
TMEM259	91304	1.3291312	5.09e-16	1.26e-16	ENSG00000182087
ETNK1	55500	1.1291921	5.21e-16	1.29e-16	ENSG00000139163
SLC9A8	23315	-1.3116562	5.35e-16	1.32e-16	ENSG00000197818
FIG4	9896	-2.0193183	5.38e-16	1.33e-16	ENSG00000112367
CALU	813	-1.181789	5.38e-16	1.33e-16	ENSG00000128595
SCUBE2	57758	-4.1858701	5.38e-16	1.33e-16	ENSG00000175356
RASA4	10156	1.843275	5.44e-16	1.35e-16	ENSG00000105808
THUMPD2	80745	-1.5014624	5.46e-16	1.35e-16	ENSG00000138050
TBC1D14	57533	1.0308204	5.5e-16	1.36e-16	ENSG00000132405
SWAP70	23075	1.4967931	5.55e-16	1.38e-16	ENSG00000133789
THSD4	79875	-3.4979023	5.56e-16	1.38e-16	ENSG00000187720
NHLRC3	387921	-2.1694454	5.64e-16	1.4e-16	ENSG00000188811
KIF22	3835	-5.2498269	5.65e-16	1.4e-16	ENSG00000079616
C2CD2L	9854	2.2955019	5.99e-16	1.49e-16	ENSG00000172375
COL6A3	1293	-2.2029494	6.11e-16	1.52e-16	ENSG00000163359
NAPEPLD	222236	1.2199759	6.12e-16	1.52e-16	ENSG00000161048
CACYBP	27101	-1.0654792	6.19e-16	1.54e-16	ENSG00000116161
NR1H2	7376	1.1021658	6.43e-16	1.6e-16	ENSG00000131408
MSRB3	253827	-1.0709864	6.48e-16	1.61e-16	ENSG00000174099
DNTTIP2	30836	1.063459	6.56e-16	1.63e-16	ENSG00000067334
ZNF71	58491	-1.7675355	6.56e-16	1.63e-16	ENSG00000197951
RAP2B	5912	1.5734449	6.67e-16	1.66e-16	ENSG00000181467
EIF4A1	1973	1.2070145	6.77e-16	1.68e-16	ENSG00000161960
LCMT2	9836	1.2659821	6.89e-16	1.72e-16	ENSG00000168806
ASF1A	25842	-1.4855015	7.03e-16	1.75e-16	ENSG00000111875
ELF2	1998	-1.8438707	7.13e-16	1.78e-16	ENSG00000109381
CD58	965	1.4075099	7.32e-16	1.83e-16	ENSG00000116815
PGD	5226	1.3730444	7.44e-16	1.86e-16	ENSG00000142657
LY6G5C	80741	1.7784428	7.48e-16	1.87e-16	ENSG00000204428
TMEM18	129787	1.649993	7.78e-16	1.94e-16	ENSG00000151353
CTDSP1	58190	1.2112628	7.79e-16	1.95e-16	ENSG00000144579
CCAR2	57805	1.9360528	7.8e-16	1.95e-16	ENSG00000158941
SMAD4	4089	1.1006461	8.06e-16	2.01e-16	ENSG00000141646
STK10	6793	1.326903	8.25e-16	2.06e-16	ENSG00000072786
SLC8B1	80024	-5.5431834	8.29e-16	2.07e-16	ENSG00000089060
CCNL2	81669	-1.8896434	8.32e-16	2.08e-16	ENSG00000221978
NGDN	25983	1.1143087	8.33e-16	2.08e-16	ENSG00000129460
ZNF776	284309	1.3211764	8.37e-16	2.09e-16	ENSG00000152443
SLC25A43	203427	1.4873675	8.44e-16	2.11e-16	ENSG00000077713
ANKRD1	27063	-7.0595483	8.47e-16	2.12e-16	ENSG00000148677
NF2	4771	1.3142024	8.49e-16	2.13e-16	ENSG00000186575
CTDSPL	10217	-1.42141	8.57e-16	2.15e-16	ENSG00000144677
FBXO33	254170	1.4101519	8.58e-16	2.15e-16	ENSG00000165355
RBM43	375287	1.291411	8.96e-16	2.25e-16	ENSG00000184898
CENPI	2491	-3.4853321	9e-16	2.26e-16	ENSG00000102384
HEPH	9843	-2.4931832	9.01e-16	2.26e-16	ENSG00000089472
GADD45B	4616	1.6265784	9.72e-16	2.44e-16	ENSG00000099860
DTD2	112487	-1.8785068	9.82e-16	2.47e-16	ENSG00000129480
ZNF786	136051	-3.0320276	9.83e-16	2.47e-16	ENSG00000197362
TSC2	7249	-1.0039426	9.85e-16	2.48e-16	ENSG00000103197
MTCL1	23255	1.4392188	1e-15	2.53e-16	ENSG00000168502
MAPRE3	22924	-3.2811558	1.02e-15	2.57e-16	ENSG00000084764
MIA2	4253	1.2201995	1.02e-15	2.57e-16	ENSG00000150527
SPPL2B	56928	1.2103363	1.02e-15	2.58e-16	ENSG00000005206
WDR1	9948	1.1582205	1.04e-15	2.63e-16	ENSG00000071127
GRAMD1B	57476	1.3653218	1.06e-15	2.67e-16	ENSG00000023171
C9orf78	51759	1.1563478	1.1e-15	2.79e-16	ENSG00000136819
HSF1	3297	1.5518181	1.13e-15	2.85e-16	ENSG00000185122
ACVRL1	94	-1.9718559	1.14e-15	2.89e-16	ENSG00000139567
TM2D2	83877	1.1516335	1.16e-15	2.93e-16	ENSG00000169490
ZBTB1	22890	1.1162518	1.19e-15	3.01e-16	ENSG00000126804
IMMP2L	83943	1.2719331	1.19e-15	3.01e-16	ENSG00000184903
ZNF43	7594	1.1201744	1.2e-15	3.05e-16	ENSG00000198521
MDM4	4194	-1.2338172	1.23e-15	3.12e-16	ENSG00000198625
CCDC102A	92922	1.5129674	1.24e-15	3.13e-16	ENSG00000135736
ASAH2B	653308	1.3902716	1.25e-15	3.18e-16	ENSG00000204147
DGKE	8526	-1.7436196	1.26e-15	3.19e-16	ENSG00000153933
SLC16A1	6566	-1.357702	1.27e-15	3.23e-16	ENSG00000155380
SPDYE10	643862	1.5131663	1.3e-15	3.29e-16	ENSG00000274570
SURF1	6834	1.1378398	1.3e-15	3.3e-16	ENSG00000148290
VAC14	55697	1.3647758	1.31e-15	3.33e-16	ENSG00000103043
NAA20	51126	-1.0822097	1.33e-15	3.38e-16	ENSG00000173418
RUVBL2	10856	1.448115	1.34e-15	3.41e-16	ENSG00000183207
CSRNP1	64651	-2.2951697	1.35e-15	3.42e-16	ENSG00000144655
MPP1	4354	-1.6335371	1.36e-15	3.44e-16	ENSG00000130830
PLA2G4C	8605	-3.5297816	1.36e-15	3.45e-16	ENSG00000105499
ARHGEF10L	55160	1.5773651	1.43e-15	3.62e-16	ENSG00000074964
TLR4	7099	-2.4236406	1.45e-15	3.7e-16	ENSG00000136869
RTRAF	51637	-1.3237878	1.49e-15	3.8e-16	ENSG00000087302
PCDHB7	56129	-3.9844487	1.52e-15	3.86e-16	ENSG00000113212
OGA	10724	-1.1163994	1.56e-15	3.98e-16	ENSG00000198408
BAG4	9530	1.2261576	1.57e-15	3.99e-16	ENSG00000156735
PI4K2B	55300	-2.3548244	1.57e-15	4.01e-16	ENSG00000038210
PPP1R14B	26472	1.2099596	1.57e-15	4.02e-16	ENSG00000173457
MRPL48	51642	-1.3841414	1.58e-15	4.03e-16	ENSG00000175581
RAD52	5893	1.177263	1.6e-15	4.07e-16	ENSG00000002016
TBX19	9095	-1.9896933	1.6e-15	4.08e-16	ENSG00000143178
LRP10	26020	1.0672926	1.61e-15	4.11e-16	ENSG00000197324
SLC25A4	291	-1.5280419	1.63e-15	4.17e-16	ENSG00000151729
ERF	2077	-1.2632037	1.65e-15	4.22e-16	ENSG00000105722
MRPS26	64949	1.5234509	1.65e-15	4.23e-16	ENSG00000125901
KLF6	1316	1.2348902	1.67e-15	4.26e-16	ENSG00000067082
MAPK1IP1L	93487	1.085618	1.68e-15	4.29e-16	ENSG00000168175
FARP2	9855	1.5617193	1.68e-15	4.29e-16	ENSG00000006607
TMED3	23423	1.1918715	1.76e-15	4.51e-16	ENSG00000166557
RNF149	284996	-1.0263911	1.77e-15	4.52e-16	ENSG00000163162
TELO2	9894	1.2223467	1.78e-15	4.57e-16	ENSG00000100726
GAMT	2593	1.292023	1.81e-15	4.63e-16	ENSG00000130005
POU6F1	5463	-1.9630747	1.81e-15	4.64e-16	ENSG00000184271
ATP6V0D1	9114	1.1062052	1.88e-15	4.81e-16	ENSG00000159720
PDK3	5165	-4.9489687	1.89e-15	4.84e-16	ENSG00000067992
TIMP1	7076	1.517567	1.89e-15	4.85e-16	ENSG00000102265
TP53I11	9537	-3.2432034	1.91e-15	4.9e-16	ENSG00000175274
GLI2	2736	1.7926689	1.93e-15	4.96e-16	ENSG00000074047
CRYGS	1427	-3.4816673	1.96e-15	5.04e-16	ENSG00000213139
WDR75	84128	-1.3606485	1.98e-15	5.08e-16	ENSG00000115368
TNFAIP2	7127	2.37539	2e-15	5.15e-16	ENSG00000185215
MNT	4335	-1.5360334	2.01e-15	5.17e-16	ENSG00000070444
C17orf75	64149	-2.5058406	2.03e-15	5.23e-16	ENSG00000108666
MAPK3	5595	-1.0017176	2.05e-15	5.27e-16	ENSG00000102882
MFSD9	84804	-2.2479533	2.05e-15	5.28e-16	ENSG00000135953
ELOVL5	60481	1.6876553	2.08e-15	5.36e-16	ENSG00000012660
EIF3B	8662	-1.2656328	2.09e-15	5.39e-16	ENSG00000106263
MTMR11	10903	1.7430865	2.1e-15	5.41e-16	ENSG00000014914
ADGRA2	25960	1.5028121	2.11e-15	5.43e-16	ENSG00000020181
ATF7IP	55729	1.0156007	2.15e-15	5.54e-16	ENSG00000171681
FRS3	10817	1.2368262	2.16e-15	5.58e-16	ENSG00000137218
ACER3	55331	1.7680488	2.17e-15	5.61e-16	ENSG00000078124
SIVA1	10572	-1.2817231	2.17e-15	5.61e-16	ENSG00000184990
FAM135A	57579	1.2855982	2.18e-15	5.63e-16	ENSG00000082269
BRD9	65980	1.3720802	2.19e-15	5.67e-16	ENSG00000028310
ZNF805	390980	1.243213	2.21e-15	5.7e-16	ENSG00000204524
MPPE1	65258	1.1812455	2.25e-15	5.82e-16	ENSG00000154889
FADD	8772	1.1064613	2.32e-15	6e-16	ENSG00000168040
ANO10	55129	-1.3292314	2.39e-15	6.18e-16	ENSG00000160746
PLCL2	23228	-3.6351705	2.4e-15	6.21e-16	ENSG00000154822
APLN	8862	-4.4417116	2.48e-15	6.43e-16	ENSG00000171388
PRKD3	23683	1.1351866	2.51e-15	6.51e-16	ENSG00000115825
SPDYE11	100996746	1.4964376	2.52e-15	6.55e-16	ENSG00000275976
TTL	150465	-1.3977653	2.54e-15	6.58e-16	ENSG00000114999
CEBPG	1054	-3.8416835	2.55e-15	6.62e-16	ENSG00000153879
HIRIP3	8479	1.6429586	2.59e-15	6.73e-16	ENSG00000149929
MPP3	4356	1.6166134	2.65e-15	6.89e-16	ENSG00000161647
ZNF524	147807	-1.8403333	2.7e-15	7.01e-16	ENSG00000171443
MUS81	80198	1.1307222	2.74e-15	7.13e-16	ENSG00000172732
TANGO6	79613	1.1524178	2.85e-15	7.41e-16	ENSG00000103047
THRAP3	9967	1.1027862	2.87e-15	7.47e-16	ENSG00000054118
TTC30A	92104	-1.6288646	2.87e-15	7.48e-16	ENSG00000197557
ABCA2	20	1.279864	2.91e-15	7.59e-16	ENSG00000107331
DHX34	9704	1.2267455	2.92e-15	7.62e-16	ENSG00000134815
RNASEK	440400	-1.1753891	2.92e-15	7.63e-16	ENSG00000219200
CUTC	51076	-2.3925565	2.93e-15	7.65e-16	ENSG00000119929
TNS1	7145	1.0800302	2.95e-15	7.69e-16	ENSG00000079308
RRP7A	27341	-1.5224812	2.97e-15	7.76e-16	ENSG00000189306
NECTIN2	5819	-1.0323335	3.02e-15	7.87e-16	ENSG00000130202
MRC2	9902	1.6217507	3.1e-15	8.1e-16	ENSG00000011028
GBE1	2632	1.2128943	3.12e-15	8.15e-16	ENSG00000114480
TMEM70	54968	-1.257102	3.13e-15	8.19e-16	ENSG00000175606
GATAD1	57798	1.3379013	3.14e-15	8.21e-16	ENSG00000157259
AP4S1	11154	-1.4448137	3.2e-15	8.38e-16	ENSG00000100478
PCYT1A	5130	1.0911999	3.21e-15	8.39e-16	ENSG00000161217
S100A2	6273	-2.4020989	3.25e-15	8.5e-16	ENSG00000196754
PLEKHA5	54477	-2.5036448	3.3e-15	8.63e-16	ENSG00000052126
PIP4K2B	8396	1.155988	3.4e-15	8.9e-16	ENSG00000276293
DCAF16	54876	1.1478747	3.44e-15	9.03e-16	ENSG00000163257
NR2C2AP	126382	1.3031364	3.49e-15	9.16e-16	ENSG00000184162
TTC13	79573	1.5989994	3.57e-15	9.37e-16	ENSG00000143643
COQ8B	79934	-1.5656052	3.59e-15	9.43e-16	ENSG00000123815
UBXN2A	165324	-1.0103866	3.59e-15	9.44e-16	ENSG00000173960
SLC29A4	222962	-2.0984536	3.6e-15	9.46e-16	ENSG00000164638
DPY19L3	147991	1.2103304	3.69e-15	9.7e-16	ENSG00000178904
TVP23C	201158	1.1495311	3.71e-15	9.75e-16	ENSG00000175106
CRBN	51185	-1.6593289	3.74e-15	9.83e-16	ENSG00000113851
HASPIN	83903	-3.3707614	3.8e-15	1e-15	ENSG00000177602
CTIF	9811	-1.4963679	3.82e-15	1.01e-15	ENSG00000134030
TRIM22	10346	-1.5245239	3.82e-15	1.01e-15	ENSG00000132274
CCDC28A	25901	1.0213295	3.88e-15	1.02e-15	ENSG00000024862
NPRL3	8131	-1.1805554	3.89e-15	1.02e-15	ENSG00000103148
SCYL2	55681	-2.2378073	3.99e-15	1.05e-15	ENSG00000136021
TMEM68	137695	-1.3748911	4.43e-15	1.17e-15	ENSG00000167904
B3GNT2	10678	1.9117857	4.43e-15	1.17e-15	ENSG00000170340
LOC728392	728392	-3.0053638	4.46e-15	1.17e-15	ENSG00000286190
MRPS28	28957	-1.4755838	4.48e-15	1.18e-15	ENSG00000147586
RNF215	200312	1.0802016	4.49e-15	1.18e-15	ENSG00000099999
TCEAL4	79921	-1.375601	4.5e-15	1.19e-15	ENSG00000133142
RBM3	5935	1.2339273	4.51e-15	1.19e-15	ENSG00000102317
RND3	390	-1.7587828	4.55e-15	1.2e-15	ENSG00000115963
MAN2A2	4122	1.4071543	4.59e-15	1.21e-15	ENSG00000196547
WDR43	23160	-1.1412963	4.62e-15	1.22e-15	ENSG00000163811
RHOB	388	-2.0930019	4.96e-15	1.31e-15	ENSG00000143878
CDC14B	8555	-1.78089	5.16e-15	1.37e-15	ENSG00000081377
PRKCD	5580	-1.2520459	5.35e-15	1.42e-15	ENSG00000163932
GNL3L	54552	-5.848471	5.4e-15	1.43e-15	ENSG00000130119
ZNF33A	7581	1.0926451	5.4e-15	1.43e-15	ENSG00000189180
KCTD3	51133	1.5668753	5.49e-15	1.46e-15	ENSG00000136636
EMC1	23065	-1.6662469	5.54e-15	1.47e-15	ENSG00000127463
PCNX2	80003	1.2559324	5.57e-15	1.48e-15	ENSG00000135749
ZNF292	23036	-2.4584322	5.64e-15	1.5e-15	ENSG00000188994
B4GALT5	9334	1.4261137	5.87e-15	1.56e-15	ENSG00000158470
KCNK6	9424	-4.6967725	5.9e-15	1.57e-15	ENSG00000099337
CDPF1	150383	-1.8066251	5.92e-15	1.57e-15	ENSG00000205643
AIFM2	84883	1.7097237	5.96e-15	1.58e-15	ENSG00000042286
IGFBP2	3485	4.5845755	5.98e-15	1.59e-15	ENSG00000115457
IRF9	10379	-1.1927673	6.05e-15	1.61e-15	ENSG00000213928
ZFP37	7539	-2.1101716	6.08e-15	1.62e-15	ENSG00000136866
SUPT5H	6829	1.2732986	6.09e-15	1.62e-15	ENSG00000196235
TBC1D17	79735	1.2704062	6.14e-15	1.64e-15	ENSG00000104946
TESK2	10420	2.287669	6.2e-15	1.65e-15	ENSG00000070759
RNGTT	8732	1.0979224	6.23e-15	1.66e-15	ENSG00000111880
KLC4	89953	1.0342379	6.37e-15	1.7e-15	ENSG00000137171
PYROXD1	79912	1.1999005	6.46e-15	1.72e-15	ENSG00000121350
GPSM1	26086	-1.6343096	6.46e-15	1.72e-15	ENSG00000160360
RASA4B	100271927	1.8047494	6.5e-15	1.73e-15	ENSG00000170667
PRPF19	27339	1.0356621	6.51e-15	1.74e-15	ENSG00000110107
EMG1	10436	1.2775359	6.66e-15	1.78e-15	ENSG00000126749
FIZ1	84922	1.4612702	6.66e-15	1.78e-15	ENSG00000179943
SMNDC1	10285	-1.1026119	6.67e-15	1.78e-15	ENSG00000119953
COQ3	51805	-2.8479474	6.7e-15	1.79e-15	ENSG00000132423
KCTD7	154881	1.1521986	6.9e-15	1.85e-15	ENSG00000243335
ING1	3621	-2.5071967	6.91e-15	1.85e-15	ENSG00000153487
ATP9A	10079	-1.2636865	6.98e-15	1.87e-15	ENSG00000054793
THAP5	168451	-5.1745624	6.99e-15	1.87e-15	ENSG00000177683
TADA1	117143	1.1888532	7.26e-15	1.95e-15	ENSG00000152382
SLC16A5	9121	-2.4641486	7.27e-15	1.95e-15	ENSG00000170190
GOLGA6L4	643707	1.475153	7.56e-15	2.03e-15	ENSG00000184206
GON4L	54856	1.3299834	7.72e-15	2.07e-15	ENSG00000116580
ROGDI	79641	1.465181	7.76e-15	2.08e-15	ENSG00000067836
AP3S1	1176	-1.701011	7.82e-15	2.1e-15	ENSG00000177879
DONSON	29980	-2.4273886	7.89e-15	2.12e-15	ENSG00000159147
TOGARAM1	23116	-2.0231465	7.96e-15	2.14e-15	ENSG00000198718
ZNF665	79788	1.3750964	8.07e-15	2.17e-15	ENSG00000197497
ZSCAN12	9753	-1.6480308	8.17e-15	2.2e-15	ENSG00000158691
ZNF593	51042	1.1216859	8.24e-15	2.22e-15	ENSG00000142684
GTDC1	79712	-1.1451979	8.26e-15	2.22e-15	ENSG00000121964
MUC1	4582	-1.6733081	8.43e-15	2.27e-15	ENSG00000185499
INTS8	55656	-1.1837731	8.45e-15	2.27e-15	ENSG00000164941
ERAP1	51752	-1.6109031	8.64e-15	2.33e-15	ENSG00000164307
MAPKAPK3	7867	1.5057474	8.67e-15	2.34e-15	ENSG00000114738
ENAH	55740	1.4486504	8.69e-15	2.34e-15	ENSG00000154380
COX14	84987	-2.2961903	8.7e-15	2.35e-15	ENSG00000178449
C3orf18	51161	1.303056	8.81e-15	2.38e-15	ENSG00000088543
TRDMT1	1787	-2.790983	8.94e-15	2.41e-15	ENSG00000107614
COG6	57511	-1.7407855	9.02e-15	2.43e-15	ENSG00000133103
ZNF3	7551	1.0289906	9.04e-15	2.44e-15	ENSG00000166526
ASAH2	56624	1.353769	9.1e-15	2.46e-15	ENSG00000188611
USPL1	10208	1.8669784	9.21e-15	2.49e-15	ENSG00000132952
UFSP2	55325	-1.527445	9.4e-15	2.54e-15	ENSG00000109775
ALPK1	80216	-1.7714677	9.41e-15	2.54e-15	ENSG00000073331
SCLT1	132320	-4.8064539	9.61e-15	2.6e-15	ENSG00000151466
FAM228B	375190	-1.4500919	9.62e-15	2.6e-15	ENSG00000219626
CACNB4	785	-7.1252354	9.76e-15	2.64e-15	ENSG00000182389
ICE1	23379	-1.4492927	9.96e-15	2.7e-15	ENSG00000164151
PPIL1	51645	1.6671198	1.01e-14	2.73e-15	ENSG00000137168
ARMCX2	9823	1.3953678	1.02e-14	2.77e-15	ENSG00000184867
PTPN13	5783	-1.7682823	1.03e-14	2.78e-15	ENSG00000163629
CETN2	1069	1.0562572	1.03e-14	2.78e-15	ENSG00000147400
LIN9	286826	-2.7566501	1.04e-14	2.83e-15	ENSG00000183814
OSBPL7	114881	2.0123795	1.05e-14	2.84e-15	ENSG00000006025
STAT6	6778	1.3077349	1.05e-14	2.86e-15	ENSG00000166888
DHX40	79665	1.323387	1.06e-14	2.87e-15	ENSG00000108406
TRIM46	80128	-3.719558	1.06e-14	2.87e-15	ENSG00000163462
SEC62	7095	1.3563941	1.06e-14	2.88e-15	ENSG00000008952
TPRA1	131601	-1.5167305	1.07e-14	2.91e-15	ENSG00000163870
DARS1	1615	1.1306624	1.07e-14	2.92e-15	ENSG00000115866
SLC25A17	10478	-1.1514364	1.07e-14	2.92e-15	ENSG00000100372
ZNF470	388566	-1.4824056	1.12e-14	3.06e-15	ENSG00000197016
IPO13	9670	1.6056472	1.16e-14	3.16e-15	ENSG00000117408
CUBN	8029	2.1481879	1.18e-14	3.2e-15	ENSG00000107611
PCMT1	5110	1.278855	1.19e-14	3.23e-15	ENSG00000120265
ZWILCH	55055	-2.1513675	1.21e-14	3.29e-15	ENSG00000174442
MAD1L1	8379	1.2482209	1.21e-14	3.3e-15	ENSG00000002822
SRM	6723	-1.1990168	1.23e-14	3.36e-15	ENSG00000116649
CCDC7	79741	1.1851727	1.24e-14	3.39e-15	ENSG00000216937
NADSYN1	55191	1.1901822	1.27e-14	3.48e-15	ENSG00000172890
ALKBH1	8846	1.2820484	1.28e-14	3.5e-15	ENSG00000100601
LIN7B	64130	-1.9160978	1.34e-14	3.67e-15	ENSG00000104863
